Gene	Chr_Pos	UniProtID	Descriptor	EC
FARSA	19p13.2	Q9Y285	ligase alpha subunit (CML33) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS) [FARS] [FARSL] [FARSLA]	EC 6.1.1.20
FKBP8	19p12	Q14318	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase) [FKBP38]	EC 5.2.1.8
FUT1	19q13.3	P19526	alpha-(1,2)-fucosyltransferase 1 (Alpha(1,2)FT 1) (Blood group H alpha 2-fucosyltransferase) (Fucosyltransferase 1) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 1) (Type 1 galactoside alpha-(1,2)-fucosyltransferase FUT1) (Type 2 galactoside alpha-(1,2)-fucosyltransferase FUT1) [H] [HSC]	EC 2.4.1.344
FUT2	19q13.3	Q10981	alpha-(1,2)-fucosyltransferase 2 (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (SE2) (Secretor blood group alpha-2-fucosyltransferase) (Secretor factor) (Se) (Type 1 galactoside alpha-(1,2)-fucosyltransferase FUT2) (Type 2 galactoside alpha-(1,2)-fucosyltransferase FUT2) [SEC2]	EC 2.4.1.344
FUT3	19p13.3	P21217	4-alpha-L-fucosyltransferase FUT3 (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase) (Alpha-3-fucosyltransferase FUT3) (Blood group Lewis alpha-4-fucosyltransferase) (Lewis FT) (Fucosyltransferase 3) (Fucosyltransferase III) (FucT-III) [FT3B] [LE]	EC 2.4.1.152
FUT5	19p13.3	Q11128	3-alpha-L-fucosyltransferase FUT5 (3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT5) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)	EC 2.4.1.65
FUT6	19p13.3	P51993	3-alpha-L-fucosyltransferase FUT6 (Fucosyltransferase 6) (Fucosyltransferase VI) (Fuc-TVI) (FucT-VI) (Galactoside 3-L-fucosyltransferase) [FCT3A]	EC 2.4.1.152
GAMT	19p13.3	Q14353	N-methyltransferase	EC 2.1.1.2
GAPDHS	19q13.1	O14556	dehydrogenase, testis-specific (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase) [GAPD2] [GAPDH2] [GAPDS] [HSD-35] [HSD35]	EC 1.2.1.12
GCDH	19p13.2	Q92947	dehydrogenase, mitochondrial precursor (GCD)	EC 1.3.8.6
GPI	19q13.1	P06744	isomerase (GPI) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)	EC 5.3.1.9
GPX4	19p13.3	P36969	hydroperoxide glutathione peroxidase GPX4 precursor (PHGPx) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)	EC 1.11.1.9
GSK3A	19q13.2	P49840	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (Serine/threonine-protein kinase GSK3A)	EC 2.7.11.1
GYS1	19q13.3	P13807	[starch] synthase, muscle (Glycogen synthase 1) [GYS]	EC 2.4.1.11
HAS1	19q13.3-q13.4	Q92839	Hyaluronan synthase 1 (Hyaluronate synthase 1) (Hyaluronic acid synthase 1) (HA synthase 1) (HuHAS1) [HAS]	EC 2.4.1.212
HERVK_113	19p13.11	P63121	group K member 113 Pro protein (HERV-K113 envelope protein) (HERV-K_19p13.11 provirus ancestral Pro protein) (Protease) (Proteinase) (PR)	EC 3.4.23.50
HERVK_113	19p13.11	P63132	group K member 113 Pol protein (HERV-K113 Pol protein) (HERV-K_19p13.11 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT); Ribonuclease H (RNase H); Integrase (IN)]	EC 3.1.26.4
HIPK4	19q13.2	Q8NE63	Homeodomain-interacting protein kinase 4	EC 2.7.11.1
HPN	19q11-q13.2	P05981	protease hepsin (Transmembrane protease serine 1) [Contains: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain] [TMPRSS1]	EC 3.4.21.106
HSD17B14	19q13.33	Q9BPX1	L-fucose dehydrogenase (17-beta-hydroxysteroid dehydrogenase DHRS10) (Dehydrogenase/reductase SDR family member 10) (Retinal short-chain dehydrogenase/reductase retSDR3) (Short chain dehydrogenase/reductase family 47C member 1) [DHRS10] [SDR3] [SDR47C1] [UNQ502/PRO474]	EC 1.1.1.122
IL4I1	19q13.3-q13.4	Q96RQ9	oxidase precursor (LAAO) (LAO) (Interleukin-4-induced protein 1) (IL4-induced protein 1) (hIL4I1) (Protein Fig-1) (hFIG1) [FIG1] [UNQ636/PRO1265]	EC 1.4.3.25
INSR	19p13.2-p13.3	P06213	receptor precursor (IR) (CD220 antigen) [Contains: Insulin receptor subunit alpha; Insulin receptor subunit beta]	EC 2.7.10.1
IRF2BP1	19q13.32	Q8IU81	Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (Probable RING-type E3 ubiquitin transferase IRF2BP1)	EC 2.3.2.27
ISYNA1	19p13.11	Q9NPH2	synthase 1 (IPS 1) (Myo-inositol 1-phosphate synthase) (MI-1-P synthase) (MIP synthase) (hIPS) (Myo-inositol 1-phosphate synthase A1) (hINO1) [INO1]	EC 5.5.1.4
ITPKC	19q13.1	Q96DU7	Inositol-trisphosphate 3-kinase C (Inositol 1,4,5-trisphosphate 3-kinase C) (IP3 3-kinase C) (IP3K C) (InsP 3-kinase C) [IP3KC]	EC 2.7.1.127
JAK3	19p13.1	P52333	kinase JAK3 (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	EC 2.7.10.2
JOSD2	19q13.41	Q8TAC2	(Josephin domain-containing protein 2) [SBBI54]	EC 3.4.19.12
KDM4B	19p13.3	O94953	Lysine-specific demethylase 4B (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B) [JHDM3B] [JMJD2B] [KIAA0876]	EC 1.14.11.66
KLK1	19q13.4	P06870	precursor (Kidney/pancreas/salivary gland kallikrein) (Tissue kallikrein)	EC 3.4.21.35
KLK2	19q13.4	P20151	precursor (Glandular kallikrein-1) (hGK-1) (Tissue kallikrein-2)	EC 3.4.21.35
KLK3	19q13.4	P07288	antigen precursor (PSA) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase) [APS]	EC 3.4.21.77
KLK7	19q13.4	P49862	precursor (hK7) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (hSCCE) [PRSS6] [SCCE]	EC 3.4.21.117
KLK8	19q13.4	O60259	precursor (hK8) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein) [NRPN] [PRSS19] [TADG14] [UNQ283/PRO322]	EC 3.4.21.118
KMT2B	19q13.1	Q9UMN6	Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (Myeloid/lymphoid or mixed-lineage leukemia protein 4) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7) [HRX2] [KIAA0304] [MLL2] [MLL4] [TRX2] [WBP7]	EC 2.1.1.364
KMT5C	19q13.42	Q86Y97	Histone-lysine N-methyltransferase KMT5C (Lysine N-methyltransferase 5C) (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) ([histone H4]-lysine20 N-methyltransferase KMT5B) [SUV420H2] [PP7130]	EC 2.1.1.361
LIG1	19q13.2-q13.3	P18858	DNA ligase 1 (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	EC 6.5.1.1
LIPE	19q13.2	Q05469	lipase (HSL) (Monoacylglycerol lipase LIPE) (Retinyl ester hydrolase) (REH)	EC 3.1.1.23
LMTK3	19q13.32	Q96Q04	Serine/threonine-protein kinase LMTK3 precursor (Lemur tyrosine kinase 3) [KIAA1883] [TYKLM3]	EC 2.7.11.1
LONP1	19p13.3	P36776	protease homolog, mitochondrial precursor (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15) [PRSS15]	EC 3.4.21.53
MAN2B1	19cen-q13.1	O00754	Lysosomal alpha-mannosidase precursor (Laman) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Contains: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide] [LAMAN] [MANB]	EC 3.2.1.24
MAP2K2	19p13.3	P36507	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2) [MEK2] [MKK2] [PRKMK2]	EC 2.7.12.2
MAP2K7	19p13.2-p13.3	O14733	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2) [JNKK2] [MEK7] [MKK7] [PRKMK7] [SKK4]	EC 2.7.12.2
MAP3K10	19q13.2	Q02779	Mitogen-activated protein kinase kinase kinase 10 (Mixed lineage kinase 2) (Protein kinase MST) [MLK2] [MST]	EC 2.7.11.25
MAP4K1	19q13.1-q13.4	Q92918	protein kinase kinase kinase kinase 1 (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1) [HPK1]	EC 2.7.11.1
MARCHF2	19p13.2	Q9P0N8	E3 ubiquitin-protein ligase MARCHF2 (Membrane-associated RING finger protein 2) (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (RING-type E3 ubiquitin transferase MARCHF2) [MARCH2] [RNF172] [HSPC240]	EC 2.3.2.27
MARK4	19q13.3	Q96L34	MAP/microtubule affinity-regulating kinase 4 (MAP/microtubule affinity-regulating kinase-like 1) [KIAA1860] [MARKL1]	EC 2.7.11.1
MAST1	19p13.2	Q9Y2H9	Microtubule-associated serine/threonine-protein kinase 1 (Syntrophin-associated serine/threonine-protein kinase) [KIAA0973] [SAST]	EC 2.7.11.1
MAST3	19p13.11	O60307	Microtubule-associated serine/threonine-protein kinase 3 [KIAA0561]	EC 2.7.11.1
MATK	19p13.3	P42679	tyrosine-protein kinase (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK) [CTK] [HYL]	EC 2.7.10.2
MKNK2	19p13.3	Q9HBH9	MAP kinase-interacting serine/threonine-protein kinase 2 (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2) [GPRK7] [MNK2]	EC 2.7.11.1
MRI1	19p13.13	Q9BV20	isomerase (M1Pi) (MTR-1-P isomerase) (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein) [MRDI] [UNQ6390/PRO21135]	EC 5.3.1.23
NDUFS7	19p13	O75251	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial precursor (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)	EC 7.1.1.2
NMRK2	19p13.3	Q9NPI5	riboside kinase 2 (NRK 2) (NmR-K 2) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2) [ITGB1BP3] [NRK2]	EC 2.7.1.173
NOSIP	19q13.3	Q9Y314	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein) [CGI-25]	EC 2.3.2.27
NUDT19	19q13.11	A8MXV4	diphosphatase NUDT19 (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	EC 3.6.1.77
PAFAH1B3	19q13.1	Q15102	Platelet-activating factor acetylhydrolase IB subunit alpha1 (PAF acetylhydrolase 29 kDa subunit) (PAF-AH 29 kDa subunit) (PAF-AH subunit gamma) (PAFAH subunit gamma) [PAFAHG]	EC 3.1.1.47
PAK4	19q13.1	O96013	kinase PAK 4 (p21-activated kinase 4) (PAK-4) [KIAA1142]	EC 2.7.11.1
PDE4A	19p13.2	P27815	3',5'-cyclic-AMP phosphodiesterase 4A (DPDE2) (PDE46) (cAMP-specific phosphodiesterase 4A) [DPDE2]	EC 3.1.4.53
PDE4C	19p13.1	Q08493	3',5'-cyclic-AMP phosphodiesterase 4C (DPDE1) (PDE21) (cAMP-specific phosphodiesterase 4C) [DPDE1]	EC 3.1.4.53
PEPD	19q12-q13.2	P12955	dipeptidase (X-Pro dipeptidase) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase) [PRD]	EC 3.4.13.9
PGLS	19p13.2	O95336	(6PGL)	EC 3.1.1.31
PGLYRP2	19p13.12	Q96PD5	N-acetylmuramoyl-L-alanine amidase precursor (Peptidoglycan recognition protein 2) (Peptidoglycan recognition protein long) (PGRP-L) [PGLYRPL] [PGRPL] [UNQ3103/PRO10102]	EC 3.5.1.28
PGPEP1	19pter-p13.3	Q9NXJ5	1 (5-oxoprolyl-peptidase) (Pyroglutamyl aminopeptidase I) (PAP-I) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrrolidone-carboxylate peptidase) [PGPI]	EC 3.4.19.3
PIAS4	19p13.3	Q8N2W9	E3 SUMO-protein ligase PIAS4 (PIASy) (Protein inhibitor of activated STAT protein 4) (Protein inhibitor of activated STAT protein gamma) (PIAS-gamma) [PIASG]	EC 2.3.2.27
PIN1	19p13	Q13526	cis-trans isomerase NIMA-interacting 1 (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	EC 5.2.1.8
PIP5K1C	19p13.3	O60331	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1gamma) (PtdIns(4)P-5-kinase 1 gamma) (Type I phosphatidylinositol 4-phosphate 5-kinase gamma) [KIAA0589]	EC 2.7.1.68
PKN1	19p12-p13.1	Q16512	kinase N1 (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N) [PAK1] [PKN] [PRK1] [PRKCL1]	EC 2.7.11.13
PLA2G4C	19	Q9UP65	Cytosolic phospholipase A2 gamma precursor (cPLA2-gamma) (Cytosolic lysophospholipase) (Cytosolic lysophospholipid O-acyltransferase) (Phospholipase A2 group IVC)	EC 3.1.1.5
PLD3	19q13.2	Q8IV08	exonuclease PLD3 ((S,S)-bis(monoacylglycero)phosphate synthase PLD3) (HindIII K4L homolog) (Hu-K4) (Phospholipase D3)	EC 3.1.16.1
PLPP2	19p13	O43688	Phospholipid phosphatase 2 (Lipid phosphate phosphohydrolase 2) (PAP2-gamma) (PAP2-G) (Phosphatidate phosphohydrolase type 2c) (Phosphatidic acid phosphatase 2c) (PAP-2c) (PAP2c) [LPP2] [PPAP2C]	EC 3.1.3.4
PNKP	19q13.3-q13.4	Q96T60	polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase	EC 2.7.1.78)
PNPLA6	19p13.2-p13.3	Q8IY17	Patatin-like phospholipase domain-containing protein 6 (Neuropathy target esterase) [NTE]	EC 3.1.1.5
POLD1	19q13.3	P28340	DNA polymerase delta catalytic subunit (3'-5' exodeoxyribonuclease) (DNA polymerase subunit delta p125) [POLD]	EC 2.7.7.7
POLRMT	19p13.3	O00411	RNA polymerase, mitochondrial precursor (MtRPOL)	EC 2.7.7.6
PPM1N	19q13.32	Q8N819	phosphatase 1N	EC 3.1.3.16
PPP5C	19q13.2	P53041	phosphatase 5 (PP5) (Protein phosphatase T) (PP-T) (PPT) [PPP5]	EC 3.1.3.16
PRDX2	19p13.2	P32119	Peroxiredoxin-2 (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2) [NKEFB] [TDPX1]	EC 1.11.1.24
PRKACA	19p13.1	P17612	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) [PKACA]	EC 2.7.11.11
PRKCG	19q13.4	P05129	kinase C gamma type (PKC-gamma) [PKCG]	EC 2.7.11.13
PRKD2	19q13.2	Q9BZL6	Serine/threonine-protein kinase D2 (nPKC-D2) [PKD2] [HSPC187]	EC 2.7.11.13
PRMT1	19q13.3	Q99873	arginine N-methyltransferase 1 (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4) [HMT2] [HRMT1L2] [IR1B4]	EC 2.1.1.319
PRODH2	19q13.1	Q9UF12	Hydroxyproline dehydrogenase (HYPDH) (Kidney and liver proline oxidase 1) (HsPOX1) (Probable proline dehydrogenase 2) (Probable proline oxidase 2) [HSPOX1] [HYPDH]	EC 1.5.5.2
PRTN3	19p13.3	P24158	Myeloblastin precursor (AGP7) (C-ANCA antigen) (Leukocyte proteinase 3) (PR-3) (PR3) (Neutrophil proteinase 4) (NP-4) (P29) (Wegener autoantigen) [MBN]	EC 3.4.21.76
PTPRH	19q13.4	Q9HD43	Receptor-type tyrosine-protein phosphatase H precursor (R-PTP-H) (Stomach cancer-associated protein tyrosine phosphatase 1) (SAP-1) (Transmembrane-type protein-tyrosine phosphatase type H) [SAP1]	EC 3.1.3.48
PTPRS	19p13.3	Q13332	Receptor-type tyrosine-protein phosphatase S precursor (R-PTP-S) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	EC 3.1.3.48
QPCTL	19q13.32	Q9NXS2	protein (Golgi-resident glutaminyl-peptide cyclotransferase) (isoQC) (gQC)	EC 2.3.2.5
QTRT1	19p13.3	Q9BXR0	tRNA-ribosyltransferase catalytic subunit 1 (Guanine insertion enzyme) (tRNA-guanine transglycosylase) [TGT] [TGUT]	EC 2.4.2.64
RAB11B	19p13.2	Q15907	Ras-related protein Rab-11B precursor (GTP-binding protein YPT3) [YPT3]	EC 3.6.5.2
RAB4B	19q13.2	P61018	Ras-related protein Rab-4B [RAB4] [PP1596]	EC 3.6.5.2
RAB8A	19p13.1-p13.2	P61006	Ras-related protein Rab-8A precursor (Oncogene c-mel) [MEL] [RAB8]	EC 3.6.5.2
RDH13	19q13.42	Q8NBN7	13 (Short chain dehydrogenase/reductase family 7C member 3) [SDR7C3] [PSEC0082] [UNQ736/PRO1430]	EC 1.1.1.300
RDH8	19p13.2	Q9NYR8	dehydrogenase 8 (Photoreceptor outer segment all-trans retinol dehydrogenase) (Short chain dehydrogenase/reductase family 28C member 2) [PRRDH] [SDR28C2]	EC 1.1.1.300
RNASEH2A	19p13.12	O75792	Ribonuclease H2 subunit A (RNase H2 subunit A) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A) [RNASEHI] [RNHIA]	EC 3.1.26.4
RNF126	19p13.3	Q9BV68	E3 ubiquitin-protein ligase RNF126 (RING finger protein 126)	EC 2.3.2.27
RUVBL2	19q13.3	Q9Y230	RuvB-like 2 (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta) [INO80J] [TIP48] [TIP49B] [CGI-46]	EC 3.6.4.12
SARS2	19q13.13	Q9NP81	ligase, mitochondrial precursor (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase) [SARSM]	EC 6.1.1.11
SBK2	19q13.42	P0C263	kinase SBK2 (SH3 domain-binding kinase family member 2) (Sugen kinase 69) (SgK069) [SGK069]	EC 2.7.11.1
SBK3	19q13.42	P0C264	kinase SBK3 (SH3 domain-binding kinase family member 3) (Sugen kinase 110) [SGK110]	EC 2.7.11.1
SIRT2	19q13	Q8IXJ6	protein deacetylase sirtuin-2 (NAD-dependent protein defatty-acylase sirtuin-2) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2) [SIR2L] [SIR2L2]	EC 2.3.1.286
SIRT6	19p13.3	Q8N6T7	protein deacylase sirtuin-6 (NAD-dependent protein deacetylase sirtuin-6) (Protein mono-ADP-ribosyltransferase sirtuin-6) (Regulatory protein SIR2 homolog 6) (hSIRT6) (SIR2-like protein 6) [SIR2L6]	EC 2.3.1.286
SLC27A1	19p13.11	Q6PCB7	Long-chain fatty acid transport protein 1 (Arachidonate--CoA ligase) (Fatty acid transport protein 1) (FATP-1) (Long-chain-fatty-acid--CoA ligase) (Solute carrier family 27 member 1) (Very long-chain acyl-CoA synthetase) [ACSVL5] [FATP1]	EC 6.2.1.3
SLC27A5	19q13.43	Q9Y2P5	Long-chain fatty acid transport protein 5 (FATP-5) (Fatty acid transport protein 5) (Bile acid-CoA ligase) (BA-CoA ligase) (BAL) (Bile acyl-CoA synthetase) (BACS) (Cholate--CoA ligase) (Fatty-acid-coenzyme A ligase, very long-chain 3) (Long-chain-fatty-acid--CoA ligase) (Solute carrier family 27 member 5) (Very long-chain acyl-CoA synthetase homolog 2) (VLCS-H2) (VLCSH2) (Very long-chain acyl-CoA synthetase-related protein) (VLACS-related) (VLACSR) [ACSB] [ACSVL6] [FACVL3] [FATP5]	EC 6.2.1.3
SPHK2	19q13.2	Q9NRA0	Sphingosine kinase 2 (SK 2) (SPK 2) [SK2]	EC 2.7.1.91
STK11	19p13.3	Q15831	Serine/threonine-protein kinase STK11 precursor (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19) [LKB1] [PJS]	EC 2.7.11.1
SULT2A1	19q13.3	Q06520	Sulfotransferase 2A1 (ST2A1) (Bile salt sulfotransferase) (Dehydroepiandrosterone sulfotransferase) (DHEA-ST) (DHEA-ST8) (Hydroxysteroid Sulfotransferase) (HST) (ST2) (SULT2A3) [HST] [STD]	EC 2.8.2.14
SULT2B1	19q13.3	O00204	Sulfotransferase 2B1 (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1) [HSST2]	EC 2.8.2.2
TDRD12	19q13.11	Q587J7	RNA helicase TDRD12 (ES cell-associated transcript 8 protein) (Tudor domain-containing protein 12) [ECAT8]	EC 3.6.4.13
TECR	19p13.12	Q9NZ01	enoyl-CoA reductase (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER) [GPSN2] [SC2]	EC 1.3.1.93
THOP1	19q13.3	P52888	Thimet oligopeptidase (Endopeptidase 24.15) (MP78)	EC 3.4.24.15
TMEM86B	19q13.42	Q8N661	Lysoplasmalogenase TMEM86B (Transmembrane protein 86B)	EC 3.3.2.2
TRIM28	19q13.4	Q13263	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28) [KAP1] [RNF96] [TIF1B]	EC 2.3.2.27
TRMT1	19p13.13	Q9NXH9	(guanine(26)-N(2))-dimethyltransferase (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)	EC 2.1.1.216
TSEN34	19q13.4	Q9BSV6	tRNA-splicing endonuclease subunit Sen34 (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34) [LENG5] [SEN34]	EC 4.6.1.16
TSSK6	19p13.11	Q9BXA6	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase) [SSTK] [FKSG82]	EC 2.7.11.1
TYK2	19p13.2	P29597	tyrosine-protein kinase TYK2	EC 2.7.10.2
UBE2M	19q13.43	P61081	NEDD8-conjugating enzyme Ubc12 (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M) [UBC12]	EC 2.3.2.34
UBE2S	19q13.43	Q16763	Ubiquitin-conjugating enzyme E2 S (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S) [E2EPF] [OK/SW-cl.73]	EC 2.3.2.23
UHRF1	19p13.3	Q96T88	E3 ubiquitin-protein ligase UHRF1 (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1) [ICBP90] [NP95] [RNF106]	EC 2.3.2.27
UPF1	19p13.2-p13.11	Q92900	Regulator of nonsense transcripts 1 (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1) [KIAA0221] [RENT1]	EC 3.6.4.13
UQCRFS1	19q12-q13.1	P47985	b-c1 complex subunit Rieske, mitochondrial precursor (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Contains: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]	EC 7.1.1.8
USP29	19q13.43	Q9HBJ7	Ubiquitin carboxyl-terminal hydrolase 29 (Deubiquitinating enzyme 29) (Ubiquitin thioesterase 29) (Ubiquitin-specific-processing protease 29)	EC 3.4.19.12
VRK3	19q13	Q8IV63	kinase VRK3 (Vaccinia-related kinase 3)	EC 2.7.11.22
ZNRF4	19p13.3	Q8WWF5	E3 ubiquitin-protein ligase ZNRF4 precursor (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4) [RNF204]	EC 2.3.2.27
